                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83315,                 0.6352,                 1.1911,                0.67314,                0.82963,                 0.8703,                0.72857,                0.63588,                0.95772,                 1.0535,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0021,                0.73262,                 1.2568,                0.97282,                0.81166,                0.94045,                0.77251,                0.67077,                0.65805,                 1.0778,             0.00082925,             0.00082925,             0.00082925
                     37,                0.90696,                0.69563,                 1.1698,                0.94727,                0.65213,                0.85339,                0.70105,                 0.6761,                0.85623,                 1.1009,             0.00081688,             0.00081688,             0.00081688
                     38,                0.80013,                 0.5788,                 1.1188,                0.89646,                0.89186,                0.94539,                0.79124,                0.63189,                0.60412,                 1.0667,              0.0008045,              0.0008045,              0.0008045
                     39,                 0.8871,                0.58587,                 1.1916,                0.93734,                0.96495,                0.99173,                 0.8605,                0.58605,                0.48732,                 1.0423,             0.00079213,             0.00079213,             0.00079213
                     40,                 0.9035,                0.61251,                 1.1553,                0.89341,                0.83389,                0.96064,                 0.8254,                0.58146,                0.57692,                 1.0417,             0.00077975,             0.00077975,             0.00077975
                     41,                0.78196,                0.59634,                 1.1266,                  0.906,                0.89245,                0.96601,                0.85865,                0.54438,                0.53764,                  1.018,             0.00076738,             0.00076738,             0.00076738
                     42,                0.84498,                0.57567,                  1.164,                0.78209,                0.84791,                0.90564,                0.74533,                0.64888,                 0.7192,                 1.0695,               0.000755,               0.000755,               0.000755
                     43,                0.82778,                0.59434,                 1.1218,                0.91145,                0.84881,                0.96365,                0.85838,                0.52846,                0.53734,                 1.0038,             0.00074263,             0.00074263,             0.00074263
                     44,                0.85103,                0.56578,                 1.1419,                0.95336,                0.89208,                0.98221,                0.83417,                0.62627,                0.51322,                 1.0893,             0.00073025,             0.00073025,             0.00073025
