                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76044,                0.59561,                 1.0877,                0.89137,                0.78273,                0.93568,                0.80912,                0.55134,                0.71217,                0.98512,             0.00084162,             0.00084162,             0.00084162
                     36,                0.83339,                0.71795,                 1.1787,                0.77851,                0.93195,                 0.8668,                0.76472,                0.52742,                0.73068,                0.97764,             0.00082925,             0.00082925,             0.00082925
                     37,                0.75732,                 0.5969,                   1.07,                0.80246,                0.91893,                 0.8533,                0.75704,                0.49426,                0.73789,                0.95941,             0.00081688,             0.00081688,             0.00081688
                     38,                0.69273,                0.53765,                 1.0224,                0.89689,                0.93629,                0.95522,                0.85431,                0.50632,                0.56838,                0.94478,              0.0008045,              0.0008045,              0.0008045
                     39,                0.75179,                 0.5408,                 1.0653,                 0.9356,                 0.9625,                0.96495,                0.85922,                0.57175,                0.56105,                0.97231,             0.00079213,             0.00079213,             0.00079213
                     40,                0.80833,                 0.5858,                  1.072,                0.95983,                 0.9514,                0.97462,                0.85624,                0.54468,                0.52305,                0.95527,             0.00077975,             0.00077975,             0.00077975
                     41,                0.77078,                0.56631,                 1.0706,                0.89499,                0.92228,                0.95536,                0.86194,                0.53431,                0.67012,                0.95085,             0.00076738,             0.00076738,             0.00076738
                     42,                0.77205,                0.59419,                 1.0699,                0.93574,                0.85893,                0.93401,                 0.8643,                0.51468,                0.69249,                0.94526,               0.000755,               0.000755,               0.000755
                     43,                0.76967,                 0.5579,                 1.0579,                0.85608,                0.89125,                0.94855,                0.85789,                0.50758,                0.63597,                0.93902,             0.00074263,             0.00074263,             0.00074263
                     44,                0.78478,                 0.5519,                  1.081,                0.93597,                0.94847,                0.97127,                0.84456,                0.54931,                0.49001,                0.98591,             0.00073025,             0.00073025,             0.00073025
                     45,                0.70103,                0.57514,                 1.0369,                0.92123,                0.93489,                0.94309,                0.83541,                0.54046,                0.59306,                0.97449,             0.00071788,             0.00071788,             0.00071788
                     46,                0.72956,                0.55145,                 1.0361,                0.85693,                0.89366,                0.93708,                0.79991,                0.60769,                0.62552,                 1.0026,              0.0007055,              0.0007055,              0.0007055
                     47,                0.68021,                0.53554,                  1.027,                0.84152,                0.95345,                0.98071,                0.84735,                0.61874,                0.52098,                 1.0126,             0.00069313,             0.00069313,             0.00069313
                     48,                0.71782,                0.59703,                 1.0523,                0.94296,                0.98681,                0.99011,                0.88348,                0.53569,                0.43339,                 0.9729,             0.00068075,             0.00068075,             0.00068075
                     49,                0.70545,                0.51187,                 1.0572,                0.90517,                0.92739,                0.94652,                0.84138,                0.50533,                0.50218,                0.96626,             0.00066838,             0.00066838,             0.00066838
                     50,                0.68664,                0.49537,                 1.0148,                0.92076,                0.95149,                0.99213,                0.89739,                0.52018,                0.45019,                0.96711,               0.000656,               0.000656,               0.000656
                     51,                0.72555,                0.49908,                  1.051,                 0.9679,                0.99389,                0.99386,                0.90409,                0.49776,                 0.4116,                0.95102,             0.00064362,             0.00064362,             0.00064362
                     52,                0.73474,                0.59771,                 1.0646,                0.97644,                0.99899,                 0.9944,                0.88222,                0.53348,                0.41321,                0.96352,             0.00063125,             0.00063125,             0.00063125
                     53,                0.67514,                0.52094,                 1.0277,                0.92977,                0.99465,                 0.9944,                0.89926,                0.48758,                 0.3829,                0.94003,             0.00061887,             0.00061887,             0.00061887
                     54,                0.67119,                0.47677,                 1.0346,                0.94363,                0.99516,                 0.9944,                0.88423,                0.52146,                0.37469,                0.95912,              0.0006065,              0.0006065,              0.0006065
                     55,                0.65308,                0.47403,                 1.0354,                0.94531,                0.96435,                  0.995,                0.87574,                0.56569,                0.40217,                0.98039,             0.00059413,             0.00059413,             0.00059413
                     56,                0.66842,                0.58968,                 1.0542,                0.94655,                0.86495,                0.98608,                0.89292,                0.50078,                0.50632,                0.95866,             0.00058175,             0.00058175,             0.00058175
                     57,                0.62974,                0.44183,                0.99551,                0.88226,                0.92895,                0.95745,                0.86072,                0.52275,                0.53548,                 0.9608,             0.00056938,             0.00056938,             0.00056938
                     58,                0.63672,                0.44253,                0.98232,                 0.9529,                0.90777,                0.97287,                0.85281,                0.55719,                0.49079,                0.99387,               0.000557,               0.000557,               0.000557
                     59,                0.65414,                0.44607,                 1.0152,                0.94085,                  0.942,                0.97187,                0.85034,                0.54034,                0.44454,                0.95951,             0.00054463,             0.00054463,             0.00054463
                     60,                0.68045,                0.46483,                 1.0035,                0.95227,                0.96642,                  0.995,                0.86655,                0.50501,                0.38477,                0.93087,             0.00053225,             0.00053225,             0.00053225
                     61,                0.61122,                0.42439,                0.97692,                0.87983,                0.99722,                   0.99,                0.89197,                0.46293,                0.38578,                0.91742,             0.00051988,             0.00051988,             0.00051988
                     62,                 0.6914,                0.44713,                  1.089,                0.91647,                0.95348,                0.98373,                0.89872,                0.46394,                0.41001,                0.92757,              0.0005075,              0.0005075,              0.0005075
                     63,                0.59587,                 0.4197,                0.96147,                 0.9307,                0.92202,                0.98142,                0.90631,                0.43375,                0.43946,                0.90877,             0.00049513,             0.00049513,             0.00049513
                     64,                0.60753,                0.41812,                0.98241,                0.89271,                0.94128,                0.96538,                0.87352,                0.45782,                0.48214,                 0.9166,             0.00048275,             0.00048275,             0.00048275
                     65,                0.62402,                0.47042,                 1.0248,                0.97846,                0.91975,                  0.995,                0.91381,                0.44884,                0.39013,                0.91177,             0.00047038,             0.00047038,             0.00047038
                     66,                0.66049,                0.43624,                 1.0586,                0.93879,                0.90135,                0.98648,                0.90597,                0.42618,                0.45538,                0.90835,               0.000458,               0.000458,               0.000458
                     67,                0.57322,                0.42282,                0.96881,                0.94527,                0.92066,                0.96182,                0.87417,                0.45308,                0.48169,                0.91782,             0.00044563,             0.00044563,             0.00044563
                     68,                0.59571,                 0.4191,                0.98129,                0.93388,                0.94711,                 0.9896,                0.90744,                0.45698,                0.41398,                0.92687,             0.00043325,             0.00043325,             0.00043325
                     69,                0.58256,                0.40221,                0.98906,                0.94633,                0.94738,                 0.9944,                0.91013,                0.45861,                0.39362,                0.92323,             0.00042087,             0.00042087,             0.00042087
                     70,                0.57417,                0.40608,                 0.9851,                0.89941,                0.95969,                0.98943,                0.90153,                0.42571,                0.41282,                0.90908,              0.0004085,              0.0004085,              0.0004085
                     71,                0.64653,                0.45979,                 1.0602,                0.88943,                0.92692,                0.98625,                0.90814,                0.43818,                0.43275,                0.91408,             0.00039613,             0.00039613,             0.00039613
                     72,                0.61277,                 0.4726,                 1.0554,                0.89268,                0.96463,                0.99381,                 0.9129,                 0.4307,                 0.4135,                0.91838,             0.00038375,             0.00038375,             0.00038375
                     73,                0.54972,                0.45515,                0.97558,                0.89241,                 0.9713,                0.97774,                0.89751,                0.46072,                0.43063,                0.92863,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.5416,                0.42674,                0.95053,                0.92539,                  0.975,                 0.9815,                0.90228,                0.42122,                0.41746,                0.90906,               0.000359,               0.000359,               0.000359
                     75,                0.59268,                 0.4075,                0.98049,                 0.9572,                0.97926,                0.99141,                0.92977,                0.39805,                0.34582,                0.89901,             0.00034663,             0.00034663,             0.00034663
                     76,                0.64731,                0.42471,                 1.0518,                0.97973,                0.97374,                0.99337,                0.92067,                 0.4158,                0.31435,                0.90821,             0.00033425,             0.00033425,             0.00033425
                     77,                0.57814,                0.38399,                0.96181,                0.98145,                0.96593,                 0.9944,                0.92373,                0.43568,                0.31036,                 0.9125,             0.00032188,             0.00032188,             0.00032188
                     78,                0.60316,                0.38982,                 0.9971,                0.92321,                0.97207,                0.99381,                0.91283,                0.44044,                0.34001,                0.91022,              0.0003095,              0.0003095,              0.0003095
                     79,                0.54498,                0.44944,                0.99315,                0.94153,                0.95182,                0.99381,                0.92886,                0.42523,                0.34592,                0.90172,             0.00029713,             0.00029713,             0.00029713
                     80,                0.50666,                 0.3726,                0.94248,                0.97705,                0.98551,                  0.995,                 0.9172,                0.43247,                0.28151,                0.90572,             0.00028475,             0.00028475,             0.00028475
                     81,                0.53579,                0.35901,                0.95939,                0.97414,                0.99667,                  0.995,                0.91173,                0.43366,                0.27503,                 0.9072,             0.00027237,             0.00027237,             0.00027237
                     82,                0.53498,                0.35873,                0.94553,                0.97823,                0.99299,                  0.995,                0.90722,                0.43025,                0.27907,                0.90588,                0.00026,                0.00026,                0.00026
                     83,                0.60964,                0.41057,                 1.0611,                0.96573,                0.99587,                  0.995,                0.91182,                0.42611,                0.28656,                0.90622,             0.00024762,             0.00024762,             0.00024762
                     84,                0.50285,                0.36387,                0.94497,                0.96193,                0.99169,                  0.995,                0.93313,                0.41615,                0.28828,                0.91021,             0.00023525,             0.00023525,             0.00023525
                     85,                 0.5283,                0.43986,                0.97048,                0.96234,                0.98687,                  0.995,                0.91664,                0.41754,                0.27391,                0.91029,             0.00022288,             0.00022288,             0.00022288
                     86,                0.52629,                0.37831,                0.97177,                 0.9836,                0.97028,                  0.995,                0.93129,                0.41295,                0.28265,                0.90736,              0.0002105,              0.0002105,              0.0002105
                     87,                0.53929,                0.36082,                0.95396,                0.97669,                0.97607,                0.99386,                0.93825,                0.40869,                0.29659,                0.90476,             0.00019813,             0.00019813,             0.00019813
                     88,                0.52404,                0.34408,                0.94942,                0.95616,                0.98288,                0.99386,                0.92606,                0.41776,                0.31314,                0.90741,             0.00018575,             0.00018575,             0.00018575
                     89,                0.53513,                0.35114,                0.97091,                0.95573,                 0.9875,                0.97979,                0.90488,                0.41771,                0.33303,                0.90562,             0.00017338,             0.00017338,             0.00017338
                     90,                0.48511,                 0.3496,                0.93365,                0.95382,                0.98064,                0.96594,                0.88587,                0.41416,                0.35282,                0.89647,               0.000161,               0.000161,               0.000161
                     91,                0.47346,                0.26985,                0.93399,                0.95245,                0.98425,                 0.9652,                0.88895,                0.42851,                0.36321,                0.90689,             0.00014862,             0.00014862,             0.00014862
                     92,                0.43234,                0.26194,                 0.8629,                0.95439,                0.95206,                0.98722,                0.90177,                0.43404,                0.36065,                0.90906,             0.00013625,             0.00013625,             0.00013625
                     93,                0.45122,                0.26732,                0.87232,                0.93929,                0.95113,                0.99213,                0.92421,                0.42197,                0.37017,                0.90365,             0.00012387,             0.00012387,             0.00012387
                     94,                0.38467,                0.25393,                0.84727,                0.95401,                0.95071,                0.99273,                0.92242,                0.42766,                0.33845,                0.90458,              0.0001115,              0.0001115,              0.0001115
                     95,                0.40693,                0.25293,                 0.8765,                0.95584,                 0.9521,                0.99273,                0.92297,                0.43903,                0.32851,                0.90805,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.42406,                0.25761,                0.87569,                0.95207,                0.97038,                0.99273,                0.92034,                0.43633,                 0.3165,                0.90621,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.38565,                0.26672,                0.86172,                0.96383,                0.95976,                0.99273,                0.91641,                0.43128,                0.30025,                0.90511,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.45228,                0.27962,                0.88718,                0.95348,                0.98278,                  0.995,                0.91748,                0.42506,                0.28012,                0.90518,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.44884,                 0.2589,                 0.8979,                0.97816,                0.96453,                  0.995,                0.92716,                0.41695,                0.28166,                0.90214,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.38047,                0.24842,                0.85514,                0.97064,                0.96626,                  0.995,                0.92532,                0.41527,                  0.285,                0.90188,              3.725e-05,              3.725e-05,              3.725e-05
