                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81207,                0.77525,                 1.0413,                0.96205,                 0.9882,                0.99321,                0.85164,                0.65524,                0.57191,                 1.0257,             0.00084162,             0.00084162,             0.00084162
                     36,                0.76379,                0.77051,                  1.068,                0.89311,                0.94792,                0.98244,                0.88235,                0.54131,                0.69538,                0.93932,             0.00082925,             0.00082925,             0.00082925
                     37,                 0.7602,                0.73096,                 1.0043,                0.83088,                0.89091,                0.93627,                0.82367,                0.53676,                0.76041,                0.93047,             0.00081688,             0.00081688,             0.00081688
                     38,                0.75729,                0.69716,                0.99656,                 0.8081,                0.91173,                0.89904,                0.78084,                0.55414,                 1.0231,                0.93254,              0.0008045,              0.0008045,              0.0008045
                     39,                0.76709,                0.66429,                 1.0234,                0.87413,                0.72355,                 0.8918,                0.81046,                0.48821,                0.94039,                0.91721,             0.00079213,             0.00079213,             0.00079213
                     40,                0.75061,                0.65743,                0.99419,                0.94353,                0.85654,                0.96604,                0.85834,                0.54066,                0.66825,                0.91584,             0.00077975,             0.00077975,             0.00077975
                     41,                0.68477,                0.64066,                0.98383,                0.88616,                0.98223,                0.97392,                0.86216,                0.56563,                0.61023,                0.93408,             0.00076738,             0.00076738,             0.00076738
                     42,                0.77268,                0.70194,                 1.0353,                 0.8839,                0.96676,                0.97108,                0.84348,                0.61859,                0.56603,                 0.9708,               0.000755,               0.000755,               0.000755
                     43,                0.72159,                0.63007,                0.98445,                0.88179,                0.97729,                0.96058,                0.80141,                0.66951,                0.60603,                 0.9867,             0.00074263,             0.00074263,             0.00074263
                     44,                0.77373,                0.68286,                0.99898,                0.83976,                 0.9636,                0.95007,                0.85097,                0.52359,                0.55185,                 0.9039,             0.00073025,             0.00073025,             0.00073025
                     45,                0.70022,                0.64123,                 0.9931,                0.92258,                0.94262,                0.96535,                0.88294,                0.48528,                 0.5165,                0.88744,             0.00071788,             0.00071788,             0.00071788
                     46,                0.70231,                0.61312,                0.98277,                0.96576,                0.88084,                0.97378,                0.87326,                0.54333,                0.55065,                0.90957,              0.0007055,              0.0007055,              0.0007055
                     47,                 0.6896,                0.58427,                0.97971,                0.96948,                0.88676,                0.97714,                0.88479,                0.48147,                0.55309,                0.88651,             0.00069313,             0.00069313,             0.00069313
